seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016037,5,0.2,261.79999999999995,246.77361517013745,0.9426035720784472,safe,0.0,"(0, 1)",0.23
1755016038,5,0.2,2866.6,2237.195626768396,0.7804352287617372,safe,0.0,"(0, 1)",0.23
1755016039,5,0.2,2578.4,2409.834716990441,0.9346240757797244,safe,0.0,"(0, 1)",0.23
1755016040,5,0.2,2261.5999999999995,2196.804010902939,0.9713494919096832,safe,0.0,"(2, 3)",0.23
1755016041,5,0.2,2642.2,2477.604206207729,0.9377050208946064,safe,0.0,"(0, 1)",0.23
1755016042,5,0.2,2490.4,2394.2020137781583,0.961372475818406,safe,0.0,"(0, 1)",0.23
1755016043,5,0.2,292.0,291.55450382260506,0.9984743281596064,safe,0.0,"(0, 1)",0.23
1755016044,5,0.2,2442.4,2321.305798338838,0.9504199960443984,safe,0.0,"(0, 1)",0.23
1755016045,5,0.2,465.6,458.7091711488392,0.9852001098557543,safe,0.0,"(3, 4)",0.23
1755016046,5,0.2,448.8,415.1641097632109,0.9250537205062632,safe,0.0,"(0, 1)",0.23
1755016047,5,0.2,673.2,614.9081570298206,0.9134108096105474,safe,0.1,"(0, 1)",0.23
1755016048,5,0.2,2255.0,2205.827502657991,0.9781940144824792,safe,0.1,"(0, 1)",0.23
1755016049,5,0.2,512.6,477.16609642302046,0.9308741639153736,safe,0.1,"(0, 1)",0.23
1755016050,5,0.2,474.4,466.90288880367007,0.9841966458762016,safe,0.1,"(2, 3)",0.23
1755016051,5,0.2,0.0,38.35656507117142,,,0.1,0,0.23
1755016052,5,0.2,2226.4,2193.1444052501465,0.9850630638026172,safe,0.1,"(0, 1)",0.23
1755016053,5,0.2,3014.0,2847.543589294646,0.9447722592218468,safe,0.1,"(0, 1)",0.23
1755016054,5,0.2,2875.4,2649.0309513109737,0.9212738927839512,safe,0.1,"(0, 1)",0.23
1755016055,5,0.2,816.2,711.8280395957336,0.8721245278065836,safe,0.1,"(0, 1)",0.23
1755016056,5,0.2,3920.2,3850.135141864581,0.9821272235764964,safe,0.1,"(0, 1)",0.23
1755016057,5,0.2,453.2000000000001,446.0920677150425,0.984316124702212,safe,0.3,"(0, 1)",0.23
1755016058,5,0.2,574.2,543.8792525604528,0.9471947972143028,safe,0.3,"(2, 3)",0.23
1755016059,5,0.2,444.4,414.741623636146,0.9332619793792664,safe,0.3,"(3, 4)",0.23
1755016060,5,0.2,468.6,448.77247242633,0.957687734584571,safe,0.3,"(0, 1)",0.23
1755016061,5,0.2,0.0,435.0364498387826,,,0.3,0,0.23
1755016062,5,0.2,0.0,4396.354848185671,,,0.3,0,0.23
1755016063,5,0.2,578.5999999999999,541.3899415586498,0.935689494570774,safe,0.3,"(2, 3)",0.23
1755016064,5,0.2,627.0,567.2367406979174,0.9046837969663756,safe,0.3,"(0, 1)",0.23
1755016065,5,0.2,0.0,2504.3909299800976,,,0.3,0,0.23
1755016066,5,0.2,273.6,265.59738356400203,0.97075067092106,safe,0.3,"(1, 2)",0.23
1755016067,5,0.2,2444.2,2298.8439527175688,0.9405302154969188,safe,0.4,"(0, 1)",0.23
1755016068,5,0.2,640.4,610.3831703443211,0.9531279986638368,safe,0.4,"(0, 1)",0.23
1755016069,5,0.2,2387.0,2280.4040616606853,0.9553431343362736,safe,0.4,"(0, 1)",0.23
1755016070,5,0.2,3229.0,2912.801853233149,0.9020755197377358,safe,0.4,"(3, 4)",0.23
1755016071,5,0.2,0.0,1112.0576888886644,,,0.4,0,0.23
1755016072,5,0.2,474.2000000000001,452.5578955971505,0.9543608089353658,safe,0.4,"(3, 4)",0.23
1755016073,5,0.2,0.0,727.9003836562915,,,0.4,0,0.23
1755016074,5,0.2,0.0,775.3447891358228,,,0.4,0,0.23
1755016075,5,0.2,3363.0,3222.0387530327425,0.9580846723261204,safe,0.4,"(3, 4)",0.23
1755016076,5,0.2,0.0,971.816750680984,,,0.4,0,0.23
1755016077,5,0.2,2290.2,2210.758330563157,0.9653123441459948,safe,0.3,"(0, 1)",0.23
1755016078,5,0.2,0.0,799.3701818856789,,,0.3,0,0.23
1755016079,5,0.2,2710.4,2583.555573789366,0.9532008462918262,safe,0.3,"(0, 1)",0.23
1755016080,5,0.2,0.0,174.7378511405459,,,0.3,0,0.23
1755016081,5,0.2,2294.6000000000004,2139.988935109313,0.932619600413716,safe,0.3,"(0, 1)",0.23
1755016082,5,0.2,505.2,474.05289706262096,0.9383469854762886,safe,0.3,"(3, 4)",0.23
1755016083,5,0.2,2688.0,2539.766516922847,0.9448536149266544,safe,0.3,"(0, 1)",0.23
1755016084,5,0.2,2627.4,2409.161796255915,0.9169375794534196,safe,0.3,"(3, 4)",0.23
1755016085,5,0.2,0.0,559.8563445601176,,,0.3,0,0.23
1755016086,5,0.2,2699.4,2597.2523299462337,0.9621591205253888,safe,0.3,"(0, 1)",0.23
1755016087,5,0.2,572.4,536.5834505487185,0.9374274118600951,safe,0.3,"(0, 1)",0.23
