seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016037,5,0.0,238.0,192.0,0.8067226890756303,safe,0.0,"(0, 1)",0.03
1755016038,5,0.0,2606.0,2054.0,0.7881811204911742,safe,0.0,"(0, 1)",0.03
1755016039,5,0.0,2344.0,1905.0,0.8127133105802048,safe,0.0,"(0, 1)",0.03
1755016040,5,0.0,2056.0,1390.0,0.6760700389105059,safe,0.0,"(0, 1)",0.03
1755016041,5,0.0,2402.0,2292.0,0.9542048293089092,safe,0.0,"(0, 1)",0.03
1755016042,5,0.0,2264.0,2174.0,0.9602473498233216,safe,0.0,"(0, 1)",0.03
1755016043,5,0.0,282.0,282.0,1.0,safe,0.0,"(0, 1)",0.03
1755016044,5,0.0,2221.0,1318.0,0.5934263845114813,safe,0.0,"(0, 1)",0.03
1755016045,5,0.0,424.0,419.0,0.9882075471698112,safe,0.0,"(3, 4)",0.03
1755016046,5,0.0,408.0,356.0,0.8725490196078431,safe,0.0,"(0, 1)",0.03
1755016047,5,0.0,562.0,420.0,0.7473309608540926,safe,0.0,"(2, 3)",0.03
1755016048,5,0.0,2048.0,1472.0,0.71875,safe,0.0,"(3, 4)",0.03
1755016049,5,0.0,466.0,336.0,0.721030042918455,safe,0.0,"(0, 1)",0.03
1755016050,5,0.0,429.0,422.0,0.9836829836829836,safe,0.0,"(1, 2)",0.03
1755016051,5,0.0,41.0,36.0,0.8780487804878049,safe,0.0,"(1, 2)",0.03
1755016052,5,0.0,2023.0,2020.0,0.9985170538803756,safe,0.0,"(2, 3)",0.03
1755016053,5,0.0,2740.0,2555.0,0.9324817518248176,safe,0.0,"(0, 1)",0.03
1755016054,5,0.0,2614.0,1744.0,0.667176740627391,safe,0.0,"(0, 1)",0.03
1755016055,5,0.0,742.0,703.0,0.9474393530997304,safe,0.0,"(0, 1)",0.03
1755016056,5,0.0,3714.0,2722.0,0.7329025309639203,safe,0.0,"(0, 1)",0.03
1755016057,5,0.0,410.0,406.0,0.9902439024390244,safe,0.0,"(2, 3)",0.03
1755016058,5,0.0,521.0,436.0,0.836852207293666,safe,0.0,"(0, 1)",0.03
1755016059,5,0.0,404.0,357.0,0.8836633663366337,safe,0.0,"(0, 1)",0.03
1755016060,5,0.0,421.0,285.0,0.6769596199524941,safe,0.0,"(3, 4)",0.03
1755016061,5,0.0,327.0,237.0,0.7247706422018348,safe,0.0,"(2, 3)",0.03
1755016062,5,0.0,3234.0,3214.0,0.9938157081014224,safe,0.0,"(0, 1)",0.03
1755016063,5,0.0,526.0,421.0,0.8003802281368821,safe,0.0,"(0, 1)",0.03
1755016064,5,0.0,570.0,506.0,0.887719298245614,safe,0.0,"(0, 1)",0.03
1755016065,5,0.0,2408.0,1481.0,0.6150332225913622,safe,0.0,"(0, 1)",0.03
1755016066,5,0.0,249.0,244.0,0.9799196787148594,safe,0.0,"(1, 2)",0.03
1755016067,5,0.0,2222.0,1995.0,0.8978397839783978,safe,0.0,"(0, 1)",0.03
1755016068,5,0.0,588.0,519.0,0.8826530612244898,safe,0.0,"(0, 1)",0.03
1755016069,5,0.0,2170.0,1215.0,0.5599078341013825,safe,0.0,"(0, 1)",0.03
1755016070,5,0.0,2965.0,2098.0,0.7075885328836425,safe,0.0,"(3, 4)",0.03
1755016071,5,0.0,1085.0,1002.0,0.9235023041474656,safe,0.0,"(0, 1)",0.03
1755016072,5,0.0,450.0,429.0,0.9533333333333334,safe,0.0,"(3, 4)",0.03
1755016073,5,0.0,740.0,617.0,0.8337837837837838,safe,0.0,"(0, 1)",0.03
1755016074,5,0.0,778.0,652.0,0.8380462724935732,safe,0.0,"(3, 4)",0.03
1755016075,5,0.0,3082.0,2996.0,0.9720960415314732,safe,0.0,"(3, 4)",0.03
1755016076,5,0.0,939.0,916.0,0.9755058572949948,safe,0.0,"(0, 1)",0.03
1755016077,5,0.0,2082.0,1930.0,0.9269932756964456,safe,0.1,"(0, 1)",0.03
1755016078,5,0.0,0.0,679.0,,,0.1,0,0.03
1755016079,5,0.0,2464.0,1510.0,0.6128246753246753,safe,0.1,"(0, 1)",0.03
1755016080,5,0.0,172.0,164.0,0.9534883720930232,safe,0.1,"(0, 1)",0.03
1755016081,5,0.0,2084.0,1951.0,0.9361804222648752,safe,0.1,"(3, 4)",0.03
1755016082,5,0.0,460.0,293.0,0.6369565217391304,safe,0.1,"(3, 4)",0.03
1755016083,5,0.0,2457.0,2209.0,0.899063899063899,safe,0.1,"(0, 1)",0.03
1755016084,5,0.0,2403.0,2200.0,0.9155222638368706,safe,0.1,"(3, 4)",0.03
1755016085,5,0.0,569.0,541.0,0.9507908611599296,safe,0.1,"(3, 4)",0.03
1755016086,5,0.0,2454.0,1811.0,0.7379788101059495,safe,0.1,"(0, 1)",0.03
1755016087,5,0.0,521.0,440.0,0.8445297504798465,safe,0.1,"(0, 1)",0.03
1755016088,5,0.0,2837.0,2548.0,0.8981318293972507,safe,0.1,"(2, 3)",0.03
1755016089,5,0.0,83.0,72.0,0.8674698795180723,safe,0.1,"(3, 4)",0.03
1755016090,5,0.0,86.0,69.0,0.8023255813953488,safe,0.1,"(0, 1)",0.03
1755016091,5,0.0,0.0,213.0,,,0.1,0,0.03
1755016092,5,0.0,373.0,368.0,0.9865951742627346,safe,0.1,"(0, 1)",0.03
