seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016037,3,0.0,302.0,265.0,0.8774834437086093,safe,0.0,"(0, 1)",0.0
1755016037,3,0.02,305.02,266.9951085913672,0.8753363995520529,safe,0.0,"(0, 1)",0.0
1755016037,3,0.05,309.54999999999995,270.01401073795785,0.8722791495330573,safe,0.0,"(0, 1)",0.0
1755016037,3,0.1,317.1,274.81435351458094,0.8666488600270607,safe,0.0,"(0, 1)",0.0
1755016037,3,0.2,332.20000000000005,283.74541900821487,0.8541403341607912,safe,0.0,"(0, 1)",0.0
1755016037,3,0.3,347.3,290.5883645775648,0.8367070676002442,safe,0.0,"(0, 1)",0.0
1755016037,3,0.4,0.0,325.2130489174833,,,1.0,0,0.5
1755016037,3,0.5,0.0,343.25718481578406,,,1.0,0,0.5
1755016038,3,0.0,444.0,409.0,0.9211711711711712,safe,0.0,"(0, 1)",0.0
1755016038,3,0.02,448.44,432.7101876722227,0.9649232621358992,safe,0.0,"(0, 1)",0.0
1755016038,3,0.05,455.1,438.6015232861309,0.9637475791828848,safe,0.0,"(0, 1)",0.0
1755016038,3,0.1,466.19999999999993,448.100275120737,0.9611760513100324,safe,0.0,"(1, 2)",0.0
1755016038,3,0.2,488.4,463.8896196477345,0.9498149460436824,safe,0.0,"(0, 1)",0.0
1755016038,3,0.3,510.6,485.2310695152937,0.9503154514596428,safe,0.0,"(0, 1)",0.0
1755016038,3,0.4,532.8,496.2912079962366,0.9314774924854292,safe,0.0,"(0, 1)",0.5
1755016038,3,0.5,555.0,514.2645088417848,0.9266027186338466,safe,0.0,"(0, 1)",0.5
1755016037,5,0.0,2454.0,2272.0,0.925835370823146,safe,0.0,"(0, 1)",0.0
1755016037,5,0.02,2478.54,2272.0471163591137,0.9166876937064214,safe,0.0,"(0, 1)",0.0
1755016037,5,0.05,2515.35,2472.086435462232,0.982800181073104,safe,0.0,"(0, 1)",0.0
1755016037,5,0.1,2576.7,2488.7223095405934,0.9658564479918476,safe,0.0,"(0, 1)",0.0
1755016037,5,0.2,2699.4,2504.6414150362543,0.9278511576780968,safe,0.0,"(0, 1)",0.0
1755016037,5,0.3,2822.1000000000004,2697.126145364251,0.9557160077120764,safe,0.0,"(0, 1)",0.0
1755016037,5,0.4,2944.8,2729.460533926584,0.9268746719392092,safe,0.0,"(1, 2)",0.0
1755016037,5,0.5,3067.5,2889.598654643687,0.9420044513915852,safe,0.0,"(0, 1)",0.0
1755016038,5,0.0,2606.0,2054.0,0.7881811204911742,safe,0.0,"(0, 1)",0.0
1755016038,5,0.02,2632.06,2061.0154445844946,0.7830427287312959,safe,0.0,"(0, 1)",0.0
1755016038,5,0.05,2671.15,2099.057373676762,0.7858253462653771,safe,0.0,"(3, 4)",0.0
1755016038,5,0.1,2736.3,2129.1118370174154,0.7780988331021508,safe,0.0,"(0, 1)",0.0
1755016038,5,0.2,2866.6,2239.2666924938776,0.7811577103515934,safe,0.0,"(0, 1)",0.0
1755016038,5,0.3,2996.9000000000005,2336.017896087817,0.7794780927250883,safe,0.0,"(0, 1)",0.0
1755016038,5,0.4,3127.2,2879.382529174709,0.9207541983802472,safe,0.0,"(2, 3)",0.0
1755016038,5,0.5,3257.5,2522.0547078848936,0.7742301482378798,safe,0.0,"(2, 3)",0.0
1755016037,8,0.0,2944.0,2716.0,0.9225543478260868,safe,0.0,"(0, 1)",0.0
1755016037,8,0.02,2973.44,2716.160561824116,0.913474145038782,safe,0.0,"(0, 1)",0.5
1755016037,8,0.05,3017.6000000000004,2726.116795959395,0.9034056190215384,safe,0.0,"(3, 4)",0.5
1755016037,8,0.1,3091.2000000000003,2935.4189307453603,0.9496049853601708,safe,0.0,"(3, 4)",0.5
