n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[20, 500, 1]",1777902064,1500,0.868664,5.791090e-04,499,"[0, 0, 0]",518,"[0, 19, 0]"
4,"[10, 100, 2, 10]",1777902064,8000,0.776644,9.708056e-05,99,"[0, 0, 0, 0]",118,"[0, 9, 0, 9]"
5,"[10, 5, 2, 5, 5]",1777902064,1250,0.744426,5.955405e-04,9,"[0, 0, 0, 0, 0]",22,"[0, 4, 1, 4, 3]"
6,"[5, 50, 1, 2, 2, 2]",1777902064,2400,0.787461,3.281089e-04,49,"[0, 0, 0, 0, 0, 0]",56,"[0, 4, 0, 1, 0, 1]"
3,"[2, 20, 1000]",1777902065,60000,0.788248,1.313747e-05,999,"[0, 0, 0]",1019,"[0, 1, 0]"
4,"[1, 5, 20, 5]",1777902065,2000,0.787096,3.935481e-04,19,"[0, 0, 0, 0]",27,"[0, 0, 4, 3]"
5,"[50, 5, 5, 1, 5]",1777902065,625,0.848812,1.358098e-03,49,"[0, 0, 0, 0, 0]",61,"[0, 4, 3, 0, 2]"
6,"[1000, 10, 20, 2, 10, 2]",1777902065,48000,11.361900,2.367062e-04,999,"[0, 0, 0, 0, 0, 0]",1038,"[0, 9, 8, 1, 8, 1]"
3,"[1, 1, 50]",1777902066,150,0.763621,5.090809e-03,49,"[0, 0, 0]",49,"[0, 0, 0]"
4,"[5, 1000, 10, 2]",1777902066,80000,1.067752,1.334690e-05,999,"[0, 0, 0, 0]",1013,"[0, 4, 3, 0]"
5,"[200, 1, 2, 100, 2]",1777902066,2000,0.834248,4.171242e-04,199,"[0, 0, 0, 0, 0]",300,"[0, 0, 1, 0, 1]"
6,"[1000, 50, 10, 10, 2, 1]",1777902066,60000,13.786430,2.297738e-04,999,"[0, 0, 0, 0, 0, 0]",1067,"[0, 49, 8, 7, 0, 0]"
3,"[2, 5, 200]",1777902067,3000,0.776414,2.588046e-04,199,"[0, 0, 0]",204,"[0, 0, 9]"
4,"[10, 5, 1000, 2]",1777902067,40000,0.937739,2.344348e-05,999,"[0, 0, 0, 0]",1013,"[0, 4, 3, 0]"
5,"[1, 10, 200, 10, 1]",1777902067,100000,0.865492,8.654921e-06,199,"[0, 0, 0, 0, 0]",217,"[0, 0, 9, 8, 0]"
6,"[200, 1, 1, 2, 100, 10]",1777902067,12000,1.359372,1.132810e-04,199,"[0, 0, 0, 0, 0, 0]",308,"[0, 0, 0, 1, 0, 9]"
3,"[5, 10, 50]",1777902068,1500,0.786718,5.244787e-04,49,"[0, 0, 0]",62,"[0, 4, 3]"
4,"[50, 500, 1, 10]",1777902068,20000,1.303403,6.517014e-05,499,"[0, 0, 0, 0]",557,"[0, 49, 0, 8]"
5,"[1000, 5, 2, 1, 10]",1777902068,500,1.113872,2.227745e-03,999,"[0, 0, 0, 0, 0]",1013,"[0, 4, 1, 0, 4]"
6,"[500, 10, 1, 50, 10, 2]",1777902068,60000,9.342416,1.557069e-04,499,"[0, 0, 0, 0, 0, 0]",567,"[0, 9, 0, 8, 7, 0]"
3,"[1, 1, 100]",1777902069,300,1.399076,4.663588e-03,99,"[0, 0, 0]",99,"[0, 0, 0]"
4,"[1000, 500, 1, 5]",1777902069,10000,7.966436,7.966436e-04,999,"[0, 0, 0, 0]",1502,"[0, 499, 0, 3]"
5,"[1, 2, 20, 1, 200]",1777902069,40000,1.794049,4.485123e-05,199,"[0, 0, 0, 0, 0]",219,"[0, 0, 1, 0, 0]"
6,"[20, 5, 5, 1, 10, 20]",1777902069,30000,3.765856,1.255285e-04,19,"[0, 0, 0, 0, 0, 0]",55,"[0, 4, 3, 0, 7, 16]"
3,"[50, 1, 1]",1777902070,3,2.853289,9.510965e-01,49,"[0, 0, 0]",49,"[0, 0, 0]"
4,"[10, 20, 50, 20]",1777902070,80000,2.901253,3.626567e-05,59,"[0, 0, 0, 0]",96,"[0, 9, 8, 17]"
5,"[1, 2, 50, 5, 20]",1777902070,50000,2.224080,4.448160e-05,59,"[0, 0, 0, 0, 0]",73,"[0, 0, 1, 0, 4]"
6,"[50, 20, 2, 50, 1, 5]",1777902070,60000,3.563072,5.938453e-05,59,"[0, 0, 0, 10, 0, 0]",122,"[0, 9, 0, 19, 0, 3]"
3,"[100, 10, 1000]",1777902071,30000,3.900051,1.300017e-04,999,"[0, 0, 0]",1107,"[0, 9, 8]"
4,"[200, 20, 5, 200]",1777902071,80000,5.587283,6.984104e-05,199,"[0, 0, 0, 0]",421,"[0, 19, 3, 22]"
5,"[5, 1, 10, 1, 200]",1777902071,10000,1.745498,1.745498e-04,199,"[0, 0, 0, 0, 0]",212,"[0, 0, 4, 0, 3]"
6,"[10, 10, 20, 2, 1, 1]",1777902071,2400,1.663143,6.929764e-04,19,"[0, 0, 0, 0, 0, 0]",38,"[0, 9, 8, 1, 0, 0]"
3,"[5, 5, 20]",1777902072,300,1.610146,5.367155e-03,19,"[0, 0, 0]",27,"[0, 4, 3]"
4,"[5, 500, 2, 5]",1777902072,20000,1.689098,8.445490e-05,499,"[0, 0, 0, 0]",508,"[0, 4, 1, 4]"
5,"[500, 20, 5, 50, 1]",1777902072,25000,5.925067,2.370027e-04,499,"[0, 0, 0, 0, 0]",571,"[0, 19, 3, 22, 0]"
6,"[10, 1, 10, 1, 5, 100]",1777902072,30000,1.438588,4.795295e-05,99,"[0, 0, 0, 0, 0, 0]",121,"[0, 0, 9, 0, 3, 2]"
3,"[100, 10, 1000]",1777902073,30000,2.930700,9.768999e-05,999,"[0, 0, 0]",1107,"[0, 9, 8]"
4,"[2, 1000, 20, 1]",1777902073,80000,1.144492,1.430616e-05,999,"[0, 0, 0, 0]",1019,"[0, 1, 0, 0]"
5,"[500, 1, 10, 10, 2]",1777902073,1000,1.675339,1.675339e-03,499,"[0, 0, 0, 0, 0]",518,"[0, 0, 9, 8, 1]"
6,"[2, 1, 2, 2, 1, 10]",1777902073,240,1.319153,5.496472e-03,9,"[0, 0, 0, 0, 0, 0]",12,"[0, 0, 1, 0, 0, 1]"
