n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
3,"[2, 200, 1]",1,600,0.001334,2.223333e-06,199.000,"[0, 0, 0]",200.000,"[0, 1, 0]"
4,"[50, 1, 1, 20]",1,80,0.024112,3.014000e-04,59.000,"[0, 0, 0, 0]",68.000,"[0, 0, 0, 9]"
5,"[1000, 10, 2, 1, 50]",1,5000,628.975984,1.257952e-01,999.000,"[0, 0, 0, 0, 0]",1058.000,"[0, 9, 0, 0, 9]"
6,"[10, 100, 2, 1, 200, 10]",1,2400000,727.822353,3.032593e-04,199.000,"[0, 0, 0, 0, 0, 0]",317.000,"[0, 9, 0, 0, 9, 8]"
7,"[1000, 1, 5, 20, 2, 1, 20]",1,28000,1868.918296,6.674708e-02,999.000,"[0, 0, 0, 0, 0, 0, 0]",1042.000,"[0, 0, 4, 3, 0, 0, 3]"
8,"[2, 5, 500, 10, 20, 10, 10, 10]",1,4000000000,133931.850802,3.348296e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",559.000,"[0, 0, 9, 8, 17, 6, 5, 4]"
9,"[2, 50, 200, 2, 2, 200, 50, 2, 1]",1,7200000000,143570.977847,1.994041e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",500.000,"[0, 1, 0, 1, 0, 1, 0, 1, 0]"
10,"[1, 50, 20, 2, 5, 100, 5, 2, 10, 1]",1,1000000000,13858.036567,1.385804e-05,99.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",186.000,"[0, 0, 9, 0, 4, 73, 2, 0, 7, 0]"
3,"[50, 1, 1]",2,3,0.013288,4.429333e-03,49.000,"[0, 0, 0]",49.000,"[0, 0, 0]"
4,"[1000, 10, 2, 500]",2,40000,4123.934254,1.030984e-01,999.000,"[0, 0, 0, 0]",1508.000,"[0, 9, 0, 9]"
5,"[10, 100, 2, 20, 1]",2,20000,20.446067,1.022303e-03,99.000,"[0, 0, 0, 0, 0]",128.000,"[0, 9, 0, 9, 0]"
6,"[2, 50, 100, 2, 2, 200]",2,24000000,1336.260369,5.567752e-05,199.000,"[0, 0, 0, 0, 0, 0]",350.000,"[0, 1, 0, 1, 0, 1]"
7,"[2, 5, 5, 2, 100, 20, 50]",2,35000000,1413.755155,4.039300e-05,99.000,"[0, 0, 0, 0, 0, 0, 0]",177.000,"[0, 0, 4, 1, 4, 3, 22]"
8,"[50, 20, 5, 10, 1, 200, 5, 20]",2,160000000,98532.686941,6.158293e-04,199.000,"[0, 0, 0, 0, 0, 0, 0, 0]",303.000,"[0, 9, 3, 2, 0, 81, 0, 4]"
9,"[10, 100, 500, 1, 10, 50, 2, 1, 5]",2,2250000000,250028.732219,1.111239e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",670.000,"[0, 9, 8, 0, 7, 16, 1, 0, 1]"
10,"[1, 2, 100, 1, 500, 1, 500, 100, 1, 1]",2,50000000000,370858.340563,7.417167e-06,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1197.000,"[0, 0, 1, 0, 0, 0, 499, 98, 0, 0]"
3,"[50, 500, 20]",3,30000,279.781275,9.326042e-03,499.000,"[0, 0, 0]",567.000,"[0, 49, 8]"
4,"[1000, 50, 2, 5]",3,2000,427.089168,2.135446e-01,999.000,"[0, 0, 0, 0]",1053.000,"[0, 49, 0, 4]"
5,"[10, 500, 2, 5, 1]",3,25000,20.574909,8.229964e-04,499.000,"[0, 0, 0, 0, 0]",513.000,"[0, 9, 0, 4, 0]"
6,"[200, 2, 5, 1000, 1000, 1]",3,60000000,278757.645515,4.645961e-03,999.000,"[0, 0, 0, 0, 0, 0]",2202.000,"[0, 1, 0, 4, 3, 0]"
7,"[2, 20, 5, 50, 200, 1, 500]",3,3500000000,134834.351113,3.852410e-05,599.000,"[0, 0, 0, 0, 0, 0, 0]",771.000,"[0, 1, 0, 4, 53, 0, 52]"
8,"[1, 20, 2, 200, 1, 1000, 100, 2]",3,12800000000,255699.332990,1.997651e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1318.000,"[0, 0, 1, 0, 0, 199, 98, 1]"
