$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[2,2,2,2]",1.000,"[0,0,0,0]",4.000,"[0,1,0,1]",3.000,1
"[2,2,2,3]",3.000,"[0,0,0,0]",5.000,"[0,1,0,0]",2.000,0
"[2,2,2,4]",3.000,"[0,0,0,0]",6.000,"[0,1,0,1]",3.000,1
"[2,2,2,5]",5.000,"[0,0,0,0]",7.000,"[0,1,0,0]",2.000,0
"[2,2,2,6]",5.000,"[0,0,0,0]",8.000,"[0,1,0,1]",3.000,1
"[2,2,2,7]",7.000,"[0,0,0,0]",9.000,"[0,1,0,0]",2.000,0
"[2,2,2,8]",7.000,"[0,0,0,0]",10.000,"[0,1,0,1]",3.000,1
"[2,2,2,9]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,2,2,10]",9.000,"[0,0,0,0]",12.000,"[0,1,0,1]",3.000,1
"[2,2,2,11]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,2,2,12]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,1
"[2,2,3,2]",3.000,"[0,0,0,0]",5.000,"[0,1,0,0]",2.000,0
"[2,2,3,3]",3.000,"[0,0,0,0]",6.000,"[0,1,0,2]",3.000,0
"[2,2,3,4]",5.000,"[0,0,0,0]",7.000,"[0,1,0,0]",2.000,0
"[2,2,3,5]",7.000,"[0,0,0,0]",8.000,"[0,1,0,0]",1.000,0
"[2,2,3,6]",5.000,"[0,0,0,0]",9.000,"[0,1,0,2]",4.000,1
"[2,2,3,7]",9.000,"[0,0,0,0]",10.000,"[0,1,0,0]",1.000,0
"[2,2,3,8]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,2,3,9]",9.000,"[0,0,0,0]",12.000,"[0,1,0,2]",3.000,0
"[2,2,3,10]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,2,3,11]",13.000,"[0,0,0,0]",14.000,"[0,1,0,0]",1.000,0
"[2,2,3,12]",11.000,"[0,0,0,0]",15.000,"[0,1,0,2]",4.000,1
"[2,2,4,2]",3.000,"[0,0,0,0]",6.000,"[0,1,0,1]",3.000,1
"[2,2,4,3]",5.000,"[0,0,0,0]",7.000,"[0,1,0,0]",2.000,0
"[2,2,4,4]",3.000,"[0,0,0,0]",8.000,"[0,1,0,3]",5.000,1
"[2,2,4,5]",7.000,"[0,0,0,0]",9.000,"[0,1,0,0]",2.000,0
"[2,2,4,6]",7.000,"[0,0,0,0]",10.000,"[0,1,0,1]",3.000,0
"[2,2,4,7]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,2,4,8]",7.000,"[0,0,0,0]",12.000,"[0,1,0,3]",5.000,1
"[2,2,4,9]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,2,4,10]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,0
"[2,2,4,11]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,2,4,12]",11.000,"[0,0,0,0]",16.000,"[0,1,0,3]",5.000,1
"[2,2,5,2]",5.000,"[0,0,0,0]",7.000,"[0,1,0,0]",2.000,0
"[2,2,5,3]",7.000,"[0,0,0,0]",8.000,"[0,1,0,0]",1.000,0
"[2,2,5,4]",7.000,"[0,0,0,0]",9.000,"[0,1,0,0]",2.000,0
"[2,2,5,5]",5.000,"[0,0,0,0]",10.000,"[0,1,0,4]",5.000,0
"[2,2,5,6]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,2,5,7]",11.000,"[0,0,0,0]",12.000,"[0,1,0,0]",1.000,0
"[2,2,5,8]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,2,5,9]",13.000,"[0,0,0,0]",14.000,"[0,1,0,0]",1.000,0
"[2,2,5,10]",9.000,"[0,0,0,0]",15.000,"[0,1,0,4]",6.000,1
"[2,2,5,11]",15.000,"[0,0,0,0]",16.000,"[0,1,0,0]",1.000,0
"[2,2,5,12]",15.000,"[0,0,0,0]",17.000,"[0,1,0,0]",2.000,0
"[2,2,6,2]",5.000,"[0,0,0,0]",8.000,"[0,1,0,1]",3.000,1
