seeds,num_tasks,per_jitter,zero_jitter,best_latency,"(latency, count)",sum_period,diff,periods,read_offsets,write_offsets,"original_latencies(LF,FF,LL,FL)","zero_jitter_latencies(LF,FF,LL,FL)","diff_latencies(LF,FF,LL,FL)",ff_ll_equal,sum_execution_time,sync_original,sync_zero_jitter,diff_sync
1769699291,3,0,9,14,"[(14, 2)]",13,"[1, 1]","[4, 4, 5]","[0, 0, 0]","[1, 1, 1]","(10, 14, 14, 18)","(9, 14, 14, 19)","[-1, 0, 0, 1]",True,3,"[7, 11, 11, 15]","[6, 11, 11, 16]","[-1, 0, 0, 1]"
1769699291,3,0,10,15,"[(15, 2)]",13,"[2, 2]","[4, 4, 5]","[0, 0, 0]","[1, 1, 2]","(11, 15, 15, 19)","(10, 15, 15, 20)","[-1, 0, 0, 1]",True,4,"[7, 11, 11, 15]","[6, 11, 11, 16]","[-1, 0, 0, 1]"
1769699291,3,0,11,16,"[(16, 2)]",13,"[3, 3]","[4, 4, 5]","[0, 0, 0]","[1, 1, 3]","(12, 16, 16, 20)","(11, 16, 16, 21)","[-1, 0, 0, 1]",True,5,"[7, 11, 11, 15]","[6, 11, 11, 16]","[-1, 0, 0, 1]"
1769699291,3,0,12,17,"[(17, 2)]",13,"[4, 4]","[4, 4, 5]","[0, 0, 0]","[1, 1, 4]","(13, 17, 17, 21)","(12, 17, 17, 22)","[-1, 0, 0, 1]",True,6,"[7, 11, 11, 15]","[6, 11, 11, 16]","[-1, 0, 0, 1]"
1769699291,3,0,13,18,"[(18, 2)]",13,"[5, 5]","[4, 4, 5]","[0, 0, 0]","[1, 1, 5]","(14, 18, 18, 22)","(13, 18, 18, 23)","[-1, 0, 0, 1]",True,7,"[7, 11, 11, 15]","[6, 11, 11, 16]","[-1, 0, 0, 1]"
1769699291,3,0,9,14,"[(14, 2)]",13,"[1, 1]","[4, 4, 5]","[0, 0, 1]","[1, 1, 2]","(9, 14, 14, 18)","(9, 14, 14, 19)","[0, 0, 0, 1]",True,3,"[6, 11, 11, 15]","[6, 11, 11, 16]","[0, 0, 0, 1]"
1769699291,3,0,10,15,"[(15, 2)]",13,"[2, 2]","[4, 4, 5]","[0, 0, 1]","[1, 1, 3]","(10, 15, 15, 19)","(10, 15, 15, 20)","[0, 0, 0, 1]",True,4,"[6, 11, 11, 15]","[6, 11, 11, 16]","[0, 0, 0, 1]"
1769699291,3,0,11,16,"[(16, 2)]",13,"[3, 3]","[4, 4, 5]","[0, 0, 1]","[1, 1, 4]","(11, 16, 16, 20)","(11, 16, 16, 21)","[0, 0, 0, 1]",True,5,"[6, 11, 11, 15]","[6, 11, 11, 16]","[0, 0, 0, 1]"
1769699291,3,0,12,17,"[(17, 2)]",13,"[4, 4]","[4, 4, 5]","[0, 0, 1]","[1, 1, 5]","(12, 17, 17, 21)","(12, 17, 17, 22)","[0, 0, 0, 1]",True,6,"[6, 11, 11, 15]","[6, 11, 11, 16]","[0, 0, 0, 1]"
1769699291,3,0,13,18,"[(18, 2)]",13,"[5, 5]","[4, 4, 5]","[0, 0, 1]","[1, 1, 6]","(13, 18, 18, 22)","(13, 18, 18, 23)","[0, 0, 0, 1]",True,7,"[6, 11, 11, 15]","[6, 11, 11, 16]","[0, 0, 0, 1]"
1769699291,3,0,9,14,"[(14, 2)]",13,"[1, 1]","[4, 4, 5]","[0, 0, 2]","[1, 1, 3]","(9, 14, 14, 19)","(9, 14, 14, 19)","[0, 0, 0, 0]",True,3,"[6, 11, 11, 16]","[6, 11, 11, 16]","[0, 0, 0, 0]"
1769699291,3,0,10,15,"[(15, 2)]",13,"[2, 2]","[4, 4, 5]","[0, 0, 2]","[1, 1, 4]","(10, 15, 15, 20)","(10, 15, 15, 20)","[0, 0, 0, 0]",True,4,"[6, 11, 11, 16]","[6, 11, 11, 16]","[0, 0, 0, 0]"
1769699291,3,0,11,16,"[(16, 2)]",13,"[3, 3]","[4, 4, 5]","[0, 0, 2]","[1, 1, 5]","(11, 16, 16, 21)","(11, 16, 16, 21)","[0, 0, 0, 0]",True,5,"[6, 11, 11, 16]","[6, 11, 11, 16]","[0, 0, 0, 0]"
1769699291,3,0,12,17,"[(17, 2)]",13,"[4, 4]","[4, 4, 5]","[0, 0, 2]","[1, 1, 6]","(12, 17, 17, 22)","(12, 17, 17, 22)","[0, 0, 0, 0]",True,6,"[6, 11, 11, 16]","[6, 11, 11, 16]","[0, 0, 0, 0]"
1769699291,3,0,13,18,"[(18, 2)]",13,"[5, 5]","[4, 4, 5]","[0, 0, 2]","[1, 1, 7]","(13, 18, 18, 23)","(13, 18, 18, 23)","[0, 0, 0, 0]",True,7,"[6, 11, 11, 16]","[6, 11, 11, 16]","[0, 0, 0, 0]"
1769699291,3,0,9,14,"[(14, 2)]",13,"[1, 1]","[4, 4, 5]","[0, 0, 3]","[1, 1, 4]","(9, 14, 14, 19)","(9, 14, 14, 19)","[0, 0, 0, 0]",True,3,"[6, 11, 11, 16]","[6, 11, 11, 16]","[0, 0, 0, 0]"
