seeds,num_tasks,per_jitter,best_latency,run_time_order,"(latency, count)"
1755016037,3,0,165,4.9405964091420174e-05,"[(165, 2)]"
1755016038,3,0,229,3.6736950278282166e-05,"[(229, 2)]"
1755016039,3,0,218,3.1294068321585655e-05,"[(218, 2)]"
1755016040,3,0,1039,4.603201523423195e-05,"[(1039, 2)]"
1755016041,3,0,1036,4.761014133691788e-05,"[(1036, 2)]"
1755016042,3,0,211,4.795310087502003e-05,"[(211, 2)]"
1755016043,3,0,260,3.9519043639302254e-05,"[(260, 2)]"
1755016044,3,0,2774,3.217603079974651e-05,"[(2774, 2)]"
1755016045,3,0,297,4.2168889194726944e-05,"[(297, 2)]"
1755016046,3,0,1137,3.278185613453388e-05,"[(1137, 2)]"
1755016047,3,0,297,3.3610034734010696e-05,"[(297, 1), (307, 1)]"
1755016048,3,0,136,3.318185918033123e-05,"[(136, 2)]"
1755016049,3,0,54,3.196904435753822e-05,"[(54, 2)]"
1755016050,3,0,25,3.34898941218853e-05,"[(25, 2)]"
1755016051,3,0,509,3.3087097108364105e-05,"[(509, 2)]"
1755016052,3,0,1004,5.66849485039711e-05,"[(1004, 2)]"
1755016053,3,0,1009,3.5578152164816856e-05,"[(1009, 2)]"
1755016054,3,0,108,4.541315138339996e-05,"[(108, 2)]"
1755016055,3,0,1298,3.308011218905449e-05,"[(1298, 2)]"
1755016056,3,0,210,3.8624973967671394e-05,"[(210, 2)]"
1755016057,3,0,1501,3.593694418668747e-05,"[(1501, 2)]"
1755016058,3,0,47,3.3733900636434555e-05,"[(47, 2)]"
1755016059,3,0,1220,4.527997225522995e-05,"[(1220, 2)]"
1755016060,3,0,197,4.62669413536787e-05,"[(197, 2)]"
1755016061,3,0,20,3.622216172516346e-05,"[(20, 1), (21, 1)]"
1755016062,3,0,211,4.381895996630192e-05,"[(211, 2)]"
1755016063,3,0,29,4.630209878087044e-05,"[(29, 2)]"
1755016064,3,0,59,3.681192174553871e-05,"[(59, 2)]"
1755016065,3,0,1135,3.739609383046627e-05,"[(1135, 2)]"
1755016066,3,0,15,4.2741186916828156e-05,"[(15, 2)]"
1755016067,3,0,1080,4.00240533053875e-05,"[(1080, 2)]"
1755016068,3,0,1058,3.60170379281044e-05,"[(1058, 2)]"
1755016069,3,0,1273,3.662100061774254e-05,"[(1273, 2)]"
1755016070,3,0,208,3.1815143302083015e-05,"[(208, 2)]"
1755016071,3,0,1290,3.714696504175663e-05,"[(1290, 2)]"
1755016072,3,0,53,3.56410164386034e-05,"[(53, 2)]"
1755016073,3,0,19,3.4641940146684647e-05,"[(19, 1), (20, 1)]"
1755016074,3,0,230,4.787393845617771e-05,"[(230, 2)]"
1755016075,3,0,698,3.0335038900375366e-05,"[(698, 2)]"
1755016076,3,0,234,3.096810542047024e-05,"[(234, 2)]"
1755016077,3,0,666,4.502898082137108e-05,"[(666, 2)]"
1755016078,3,0,233,3.9757927879691124e-05,"[(233, 2)]"
1755016079,3,0,63,3.390992060303688e-05,"[(63, 2)]"
1755016080,3,0,1002,3.7152087315917015e-05,"[(1002, 2)]"
1755016081,3,0,1021,3.653997555375099e-05,"[(1021, 2)]"
1755016082,3,0,109,3.524008207023144e-05,"[(109, 2)]"
1755016083,3,0,106,3.0425842851400375e-05,"[(106, 2)]"
1755016084,3,0,113,3.885594196617603e-05,"[(113, 2)]"
