seeds,num_tasks,per_jitter,zero_jitter,best_latency,run_time_order,"(latency, count)"
1755016037,5,0,383,378,0.0005141701549291611,"[(378, 2), (383, 22)]"
1755016038,5,0,387,387,0.0003501409664750099,"[(387, 24)]"
1755016039,5,0,374,374,0.0003498392179608345,"[(374, 24)]"
1755016040,5,0,529,505,0.000253340695053339,"[(505, 2), (529, 9), (531, 3), (533, 1), (535, 3), (537, 3), (539, 3)]"
1755016041,5,0,380,368,0.00034836120903491974,"[(368, 4), (380, 20)]"
1755016042,5,0,401,401,0.00026786839589476585,"[(401, 24)]"
1755016043,5,0,564,564,0.0007557389326393604,"[(564, 4), (596, 20)]"
1755016044,5,0,473,472,0.0004598041996359825,"[(472, 12), (473, 12)]"
1755016045,5,0,555,553,0.0003224248066544533,"[(553, 12), (555, 12)]"
1755016046,5,0,637,609,0.0006412286311388016,"[(609, 8), (637, 16)]"
1755016047,5,0,504,501,0.0002844110131263733,"[(501, 8), (504, 16)]"
1755016048,5,0,602,596,0.000551275908946991,"[(596, 3), (598, 1), (602, 13), (604, 7)]"
1755016049,5,0,472,464,0.00040268804877996445,"[(464, 6), (465, 6), (471, 6), (472, 6)]"
1755016050,5,0,437,437,0.00034029223024845123,"[(437, 24)]"
1755016051,5,0,628,628,0.0003612400032579899,"[(628, 8), (629, 4), (632, 12)]"
1755016052,5,0,281,280,0.00035908911377191544,"[(280, 8), (281, 16)]"
1755016053,5,0,418,418,0.0003823363222181797,"[(418, 24)]"
1755016054,5,0,463,427,0.00032468605786561966,"[(427, 8), (463, 4), (465, 12)]"
1755016055,5,0,541,541,0.00032192375510931015,"[(541, 24)]"
1755016056,5,0,479,477,0.00046506384387612343,"[(477, 8), (478, 12), (479, 4)]"
1755016057,5,0,372,370,0.0002662721090018749,"[(370, 6), (372, 18)]"
1755016058,5,0,413,406,0.0003895820118486881,"[(406, 3), (408, 8), (409, 3), (410, 5), (411, 4), (413, 1)]"
1755016059,5,0,442,439,0.000495638232678175,"[(439, 12), (442, 12)]"
