seeds,num_tasks,per_jitter,zero_jitter,best_latency,run_time_order,"(latency, count)",periods,read_offsets,write_offsets
1769177868,3,0,21,21,9.551970288157463e-05,"[(21, 2)]","[9, 6, 3]","[0, 0, 0]","[9, 6, 3]"
1769177868,3,0,22,22,6.0648657381534576e-05,"[(22, 2)]","[9, 6, 3]","[0, 0, 1]","[9, 6, 4]"
1769177868,3,0,23,23,6.035994738340378e-05,"[(23, 2)]","[9, 6, 3]","[0, 0, 2]","[9, 6, 5]"
1769177868,3,0,24,24,5.6265853345394135e-05,"[(24, 2)]","[9, 6, 3]","[0, 1, 0]","[9, 7, 3]"
1769177868,3,0,22,22,5.933176726102829e-05,"[(22, 2)]","[9, 6, 3]","[0, 1, 1]","[9, 7, 4]"
1769177868,3,0,23,23,5.3882598876953125e-05,"[(23, 2)]","[9, 6, 3]","[0, 1, 2]","[9, 7, 5]"
1769177868,3,0,24,24,5.534989759325981e-05,"[(24, 2)]","[9, 6, 3]","[0, 2, 0]","[9, 8, 3]"
1769177868,3,0,25,25,5.211075767874718e-05,"[(25, 2)]","[9, 6, 3]","[0, 2, 1]","[9, 8, 4]"
1769177868,3,0,23,23,5.37848100066185e-05,"[(23, 2)]","[9, 6, 3]","[0, 2, 2]","[9, 8, 5]"
1769177868,3,0,21,21,5.268864333629608e-05,"[(21, 2)]","[9, 6, 3]","[0, 3, 0]","[9, 9, 3]"
1769177868,3,0,22,22,5.301274359226227e-05,"[(22, 2)]","[9, 6, 3]","[0, 3, 1]","[9, 9, 4]"
1769177868,3,0,23,23,5.395198240876198e-05,"[(23, 2)]","[9, 6, 3]","[0, 3, 2]","[9, 9, 5]"
1769177868,3,0,24,24,5.73890283703804e-05,"[(24, 2)]","[9, 6, 3]","[0, 4, 0]","[9, 10, 3]"
1769177868,3,0,22,22,5.52949495613575e-05,"[(22, 2)]","[9, 6, 3]","[0, 4, 1]","[9, 10, 4]"
1769177868,3,0,23,23,5.307421088218689e-05,"[(23, 2)]","[9, 6, 3]","[0, 4, 2]","[9, 10, 5]"
1769177868,3,0,24,24,5.5172014981508255e-05,"[(24, 2)]","[9, 6, 3]","[0, 5, 0]","[9, 11, 3]"
1769177868,3,0,25,25,5.332380533218384e-05,"[(25, 2)]","[9, 6, 3]","[0, 5, 1]","[9, 11, 4]"
1769177868,3,0,23,23,5.4590869694948196e-05,"[(23, 2)]","[9, 6, 3]","[0, 5, 2]","[9, 11, 5]"
1769177868,3,0,23,23,5.344906821846962e-05,"[(23, 2)]","[9, 6, 3]","[1, 0, 0]","[10, 6, 3]"
1769177868,3,0,24,24,5.1495619118213654e-05,"[(24, 2)]","[9, 6, 3]","[1, 0, 1]","[10, 6, 4]"
1769177868,3,0,25,25,5.0865113735198975e-05,"[(25, 2)]","[9, 6, 3]","[1, 0, 2]","[10, 6, 5]"
1769177868,3,0,23,23,5.249911919236183e-05,"[(23, 2)]","[9, 6, 3]","[1, 1, 0]","[10, 7, 3]"
1769177868,3,0,21,21,5.1250215619802475e-05,"[(21, 2)]","[9, 6, 3]","[1, 1, 1]","[10, 7, 4]"
1769177868,3,0,22,22,5.167117342352867e-05,"[(22, 2)]","[9, 6, 3]","[1, 1, 2]","[10, 7, 5]"
1769177868,3,0,23,23,5.088420584797859e-05,"[(23, 2)]","[9, 6, 3]","[1, 2, 0]","[10, 8, 3]"
1769177868,3,0,24,24,4.927022382616997e-05,"[(24, 2)]","[9, 6, 3]","[1, 2, 1]","[10, 8, 4]"
1769177868,3,0,22,22,5.315383896231651e-05,"[(22, 2)]","[9, 6, 3]","[1, 2, 2]","[10, 8, 5]"
1769177868,3,0,23,23,5.0992704927921295e-05,"[(23, 2)]","[9, 6, 3]","[1, 3, 0]","[10, 9, 3]"
1769177868,3,0,24,24,5.1198992878198624e-05,"[(24, 2)]","[9, 6, 3]","[1, 3, 1]","[10, 9, 4]"
1769177868,3,0,25,25,5.065323784947395e-05,"[(25, 2)]","[9, 6, 3]","[1, 3, 2]","[10, 9, 5]"
1769177868,3,0,23,23,5.490705370903015e-05,"[(23, 2)]","[9, 6, 3]","[1, 4, 0]","[10, 10, 3]"
1769177868,3,0,21,21,5.004880949854851e-05,"[(21, 2)]","[9, 6, 3]","[1, 4, 1]","[10, 10, 4]"
1769177868,3,0,22,22,4.9217138439416885e-05,"[(22, 2)]","[9, 6, 3]","[1, 4, 2]","[10, 10, 5]"
1769177868,3,0,23,23,5.2006449550390244e-05,"[(23, 2)]","[9, 6, 3]","[1, 5, 0]","[10, 11, 3]"
1769177868,3,0,24,24,4.831608384847641e-05,"[(24, 2)]","[9, 6, 3]","[1, 5, 1]","[10, 11, 4]"
1769177868,3,0,22,22,5.11975958943367e-05,"[(22, 2)]","[9, 6, 3]","[1, 5, 2]","[10, 11, 5]"
1769177868,3,0,22,22,9.402912110090256e-05,"[(22, 2)]","[9, 6, 3]","[2, 0, 0]","[11, 6, 3]"
1769177868,3,0,23,23,4.922784864902496e-05,"[(23, 2)]","[9, 6, 3]","[2, 0, 1]","[11, 6, 4]"
1769177868,3,0,24,24,5.290284752845764e-05,"[(24, 2)]","[9, 6, 3]","[2, 0, 2]","[11, 6, 5]"
1769177868,3,0,25,25,4.825880751013756e-05,"[(25, 2)]","[9, 6, 3]","[2, 1, 0]","[11, 7, 3]"
1769177868,3,0,23,23,5.075708031654358e-05,"[(23, 2)]","[9, 6, 3]","[2, 1, 1]","[11, 7, 4]"
1769177868,3,0,24,24,4.828302189707756e-05,"[(24, 2)]","[9, 6, 3]","[2, 1, 2]","[11, 7, 5]"
1769177868,3,0,22,22,5.159992724657059e-05,"[(22, 2)]","[9, 6, 3]","[2, 2, 0]","[11, 8, 3]"
1769177868,3,0,23,23,6.142677739262581e-05,"[(23, 2)]","[9, 6, 3]","[2, 2, 1]","[11, 8, 4]"
1769177868,3,0,21,21,5.2761752158403397e-05,"[(21, 2)]","[9, 6, 3]","[2, 2, 2]","[11, 8, 5]"
1769177868,3,0,22,22,5.140388384461403e-05,"[(22, 2)]","[9, 6, 3]","[2, 3, 0]","[11, 9, 3]"
1769177868,3,0,23,23,5.004368722438812e-05,"[(23, 2)]","[9, 6, 3]","[2, 3, 1]","[11, 9, 4]"
1769177868,3,0,24,24,5.0640664994716644e-05,"[(24, 2)]","[9, 6, 3]","[2, 3, 2]","[11, 9, 5]"
1769177868,3,0,25,25,9.02949832379818e-05,"[(25, 2)]","[9, 6, 3]","[2, 4, 0]","[11, 10, 3]"
1769177868,3,0,23,23,4.2839907109737396e-05,"[(23, 2)]","[9, 6, 3]","[2, 4, 1]","[11, 10, 4]"
1769177868,3,0,24,24,3.645801916718483e-05,"[(24, 2)]","[9, 6, 3]","[2, 4, 2]","[11, 10, 5]"
1769177868,3,0,22,22,3.528036177158356e-05,"[(22, 2)]","[9, 6, 3]","[2, 5, 0]","[11, 11, 3]"
1769177868,3,0,23,23,3.5424716770648956e-05,"[(23, 2)]","[9, 6, 3]","[2, 5, 1]","[11, 11, 4]"
1769177868,3,0,21,21,3.683893010020256e-05,"[(21, 2)]","[9, 6, 3]","[2, 5, 2]","[11, 11, 5]"
1769177868,3,0,21,21,3.434531390666962e-05,"[(21, 2)]","[9, 6, 3]","[3, 0, 0]","[12, 6, 3]"
1769177868,3,0,22,22,3.6939047276973724e-05,"[(22, 2)]","[9, 6, 3]","[3, 0, 1]","[12, 6, 4]"
1769177868,3,0,23,23,3.475509583950043e-05,"[(23, 2)]","[9, 6, 3]","[3, 0, 2]","[12, 6, 5]"
1769177868,3,0,24,24,3.5000964999198914e-05,"[(24, 2)]","[9, 6, 3]","[3, 1, 0]","[12, 7, 3]"
1769177868,3,0,22,22,3.7800054997205734e-05,"[(22, 2)]","[9, 6, 3]","[3, 1, 1]","[12, 7, 4]"
1769177868,3,0,23,23,3.3857300877571106e-05,"[(23, 2)]","[9, 6, 3]","[3, 1, 2]","[12, 7, 5]"
1769177868,3,0,24,24,3.542983904480934e-05,"[(24, 2)]","[9, 6, 3]","[3, 2, 0]","[12, 8, 3]"
1769177868,3,0,25,25,3.399094566702843e-05,"[(25, 2)]","[9, 6, 3]","[3, 2, 1]","[12, 8, 4]"
1769177868,3,0,23,23,3.369525074958801e-05,"[(23, 2)]","[9, 6, 3]","[3, 2, 2]","[12, 8, 5]"
1769177868,3,0,21,21,3.3517833799123764e-05,"[(21, 2)]","[9, 6, 3]","[3, 3, 0]","[12, 9, 3]"
1769177868,3,0,22,22,3.244075924158096e-05,"[(22, 2)]","[9, 6, 3]","[3, 3, 1]","[12, 9, 4]"
1769177868,3,0,23,23,3.339769318699837e-05,"[(23, 2)]","[9, 6, 3]","[3, 3, 2]","[12, 9, 5]"
1769177868,3,0,24,24,3.3698976039886475e-05,"[(24, 2)]","[9, 6, 3]","[3, 4, 0]","[12, 10, 3]"
1769177868,3,0,22,22,4.84357587993145e-05,"[(22, 2)]","[9, 6, 3]","[3, 4, 1]","[12, 10, 4]"
1769177868,3,0,23,23,3.7713441997766495e-05,"[(23, 2)]","[9, 6, 3]","[3, 4, 2]","[12, 10, 5]"
1769177868,3,0,24,24,3.3945776522159576e-05,"[(24, 2)]","[9, 6, 3]","[3, 5, 0]","[12, 11, 3]"
1769177868,3,0,25,25,3.308197483420372e-05,"[(25, 2)]","[9, 6, 3]","[3, 5, 1]","[12, 11, 4]"
1769177868,3,0,23,23,3.279605880379677e-05,"[(23, 2)]","[9, 6, 3]","[3, 5, 2]","[12, 11, 5]"
1769177868,3,0,23,23,4.522595554590225e-05,"[(23, 2)]","[9, 6, 3]","[4, 0, 0]","[13, 6, 3]"
1769177868,3,0,24,24,3.704708069562912e-05,"[(24, 2)]","[9, 6, 3]","[4, 0, 1]","[13, 6, 4]"
1769177868,3,0,25,25,3.567896783351898e-05,"[(25, 2)]","[9, 6, 3]","[4, 0, 2]","[13, 6, 5]"
1769177868,3,0,23,23,3.518490120768547e-05,"[(23, 2)]","[9, 6, 3]","[4, 1, 0]","[13, 7, 3]"
1769177868,3,0,21,21,3.4578144550323486e-05,"[(21, 2)]","[9, 6, 3]","[4, 1, 1]","[13, 7, 4]"
1769177868,3,0,22,22,3.548199310898781e-05,"[(22, 2)]","[9, 6, 3]","[4, 1, 2]","[13, 7, 5]"
1769177868,3,0,23,23,3.433786332607269e-05,"[(23, 2)]","[9, 6, 3]","[4, 2, 0]","[13, 8, 3]"
1769177868,3,0,24,24,6.053922697901726e-05,"[(24, 2)]","[9, 6, 3]","[4, 2, 1]","[13, 8, 4]"
1769177868,3,0,22,22,3.4673139452934265e-05,"[(22, 2)]","[9, 6, 3]","[4, 2, 2]","[13, 8, 5]"
1769177868,3,0,23,23,3.56738455593586e-05,"[(23, 2)]","[9, 6, 3]","[4, 3, 0]","[13, 9, 3]"
1769177868,3,0,24,24,3.70577909052372e-05,"[(24, 2)]","[9, 6, 3]","[4, 3, 1]","[13, 9, 4]"
1769177868,3,0,25,25,3.591831773519516e-05,"[(25, 2)]","[9, 6, 3]","[4, 3, 2]","[13, 9, 5]"
1769177868,3,0,23,23,3.585405647754669e-05,"[(23, 2)]","[9, 6, 3]","[4, 4, 0]","[13, 10, 3]"
1769177868,3,0,21,21,3.630900755524635e-05,"[(21, 2)]","[9, 6, 3]","[4, 4, 1]","[13, 10, 4]"
1769177868,3,0,22,22,3.562401980161667e-05,"[(22, 2)]","[9, 6, 3]","[4, 4, 2]","[13, 10, 5]"
1769177868,3,0,23,23,3.628060221672058e-05,"[(23, 2)]","[9, 6, 3]","[4, 5, 0]","[13, 11, 3]"
1769177868,3,0,24,24,3.2491981983184814e-05,"[(24, 2)]","[9, 6, 3]","[4, 5, 1]","[13, 11, 4]"
1769177868,3,0,22,22,3.342004492878914e-05,"[(22, 2)]","[9, 6, 3]","[4, 5, 2]","[13, 11, 5]"
1769177868,3,0,22,22,3.2329000532627106e-05,"[(22, 2)]","[9, 6, 3]","[5, 0, 0]","[14, 6, 3]"
1769177868,3,0,23,23,3.38209792971611e-05,"[(23, 2)]","[9, 6, 3]","[5, 0, 1]","[14, 6, 4]"
1769177868,3,0,24,24,3.459397703409195e-05,"[(24, 2)]","[9, 6, 3]","[5, 0, 2]","[14, 6, 5]"
1769177868,3,0,25,25,3.2238662242889404e-05,"[(25, 2)]","[9, 6, 3]","[5, 1, 0]","[14, 7, 3]"
1769177868,3,0,23,23,3.610178828239441e-05,"[(23, 2)]","[9, 6, 3]","[5, 1, 1]","[14, 7, 4]"
