seeds,num_tasks,per_jitter,zero_jitter,best_latency,run_time_order,"(latency, count)",periods,read_offsets,write_offsets
1755016037,5,0,383,378,0.0005106250755488873,"[(378, 2), (383, 22)]","[89, 18, 25, 22, 84]","[25, 3, 2, 10, 47]","[114, 21, 27, 32, 131]"
1755016038,5,0,387,387,0.00030033988878130913,"[(387, 24)]","[78, 27, 47, 51, 33]","[70, 24, 29, 16, 1]","[148, 51, 76, 67, 34]"
1755016039,5,0,374,374,0.0003134789876639843,"[(374, 24)]","[43, 45, 39, 65, 31]","[6, 29, 20, 32, 18]","[49, 74, 59, 97, 49]"
1755016040,5,0,529,505,0.00023571215569972992,"[(505, 2), (529, 9), (531, 3), (533, 1), (535, 3), (537, 3), (539, 3)]","[84, 80, 56, 54, 40]","[63, 26, 17, 28, 8]","[147, 106, 73, 82, 48]"
1755016041,5,0,380,368,0.0003106342628598213,"[(368, 4), (380, 20)]","[76, 17, 33, 68, 37]","[6, 8, 10, 41, 1]","[82, 25, 43, 109, 38]"
1755016042,5,0,401,401,0.00023344065994024277,"[(401, 24)]","[44, 60, 52, 72, 18]","[7, 15, 26, 60, 2]","[51, 75, 78, 132, 20]"
1755016043,5,0,564,564,0.0005307728424668312,"[(564, 4), (596, 20)]","[90, 83, 45, 71, 56]","[62, 60, 14, 17, 42]","[152, 143, 59, 88, 98]"
1755016044,5,0,473,472,0.00045739393681287766,"[(472, 12), (473, 12)]","[61, 49, 44, 82, 44]","[0, 44, 30, 80, 44]","[61, 93, 74, 162, 88]"
1755016045,5,0,555,553,0.00032835500314831734,"[(553, 12), (555, 12)]","[21, 92, 96, 94, 25]","[14, 52, 23, 39, 17]","[35, 144, 119, 133, 42]"
1755016046,5,0,637,609,0.0006290716119110584,"[(609, 8), (637, 16)]","[89, 31, 62, 91, 95]","[6, 0, 2, 4, 21]","[95, 31, 64, 95, 116]"
1755016047,5,0,504,501,0.0002851448953151703,"[(501, 8), (504, 16)]","[33, 87, 12, 78, 93]","[10, 36, 10, 58, 10]","[43, 123, 22, 136, 103]"
1755016048,5,0,602,596,0.0005744099617004395,"[(596, 3), (598, 1), (602, 13), (604, 7)]","[58, 87, 20, 89, 100]","[46, 72, 4, 71, 54]","[104, 159, 24, 160, 154]"
1755016049,5,0,472,464,0.00037451600655913353,"[(464, 6), (465, 6), (471, 6), (472, 6)]","[17, 78, 85, 70, 32]","[11, 41, 56, 27, 25]","[28, 119, 141, 97, 57]"
1755016050,5,0,437,437,0.000369085930287838,"[(437, 24)]","[52, 62, 56, 50, 33]","[15, 9, 9, 1, 14]","[67, 71, 65, 51, 47]"
1755016051,5,0,628,628,0.0003849472850561142,"[(628, 8), (629, 4), (632, 12)]","[100, 100, 81, 64, 45]","[5, 60, 66, 8, 18]","[105, 160, 147, 72, 63]"
1755016052,5,0,281,280,0.0003750990144908428,"[(280, 8), (281, 16)]","[61, 34, 15, 10, 53]","[38, 7, 12, 5, 0]","[99, 41, 27, 15, 53]"
1755016053,5,0,418,418,0.00038873497396707535,"[(418, 24)]","[49, 37, 96, 19, 58]","[45, 28, 43, 12, 35]","[94, 65, 139, 31, 93]"
1755016054,5,0,463,427,0.00035469699651002884,"[(427, 8), (463, 4), (465, 12)]","[98, 39, 35, 78, 34]","[78, 9, 32, 0, 9]","[176, 48, 67, 78, 43]"
1755016055,5,0,541,541,0.0003381730057299137,"[(541, 24)]","[99, 84, 13, 41, 88]","[85, 26, 9, 27, 43]","[184, 110, 22, 68, 131]"
1755016056,5,0,479,477,0.0006988649256527424,"[(477, 8), (478, 12), (479, 4)]","[29, 97, 38, 46, 80]","[29, 53, 36, 30, 42]","[58, 150, 74, 76, 122]"
1755016057,5,0,372,370,0.00046232203021645546,"[(370, 6), (372, 18)]","[74, 26, 64, 46, 16]","[58, 19, 57, 39, 16]","[132, 45, 121, 85, 32]"
1755016058,5,0,413,406,0.0006772908382117748,"[(406, 3), (408, 8), (409, 3), (410, 5), (411, 4), (413, 1)]","[73, 45, 70, 30, 27]","[51, 33, 35, 1, 19]","[124, 78, 105, 31, 46]"
1755016059,5,0,442,439,0.0008408310823142529,"[(439, 12), (442, 12)]","[27, 85, 33, 32, 92]","[2, 7, 28, 18, 90]","[29, 92, 61, 50, 182]"
1755016060,5,0,464,457,0.0006781858392059803,"[(457, 4), (460, 8), (462, 4), (464, 8)]","[40, 78, 55, 85, 20]","[40, 45, 6, 76, 2]","[80, 123, 61, 161, 22]"
