seeds,num_tasks,per_jitter,best_latency,run_time_zero
1755016037,3,0,165,2.693099668249488e-05
1755016038,3,0,229,1.0685005690902472e-05
1755016039,3,0,218,7.50500475987792e-06
1755016040,3,0,1039,7.791037205606699e-06
1755016041,3,0,1036,8.154951501637697e-06
1755016042,3,0,211,7.265014573931694e-06
1755016043,3,0,260,7.506983820348978e-06
1755016044,3,0,2774,7.006980013102293e-06
1755016045,3,0,297,6.831018254160881e-06
1755016046,3,0,1137,6.593007128685713e-06
1755016047,3,0,297,7.127993740141392e-06
1755016048,3,0,136,6.73800241202116e-06
1755016049,3,0,54,7.016991730779409e-06
1755016050,3,0,25,6.955000571906567e-06
1755016051,3,0,509,7.154012564569712e-06
1755016052,3,0,1004,6.7810178734362125e-06
1755016053,3,0,1009,7.372989784926176e-06
1755016054,3,0,108,6.725953426212072e-06
1755016055,3,0,1298,8.605013135820627e-06
1755016056,3,0,210,7.510010618716478e-06
1755016057,3,0,1501,8.370960131287575e-06
1755016058,3,0,47,6.87700230628252e-06
1755016059,3,0,1220,8.252041880041361e-06
1755016060,3,0,197,7.1829999797046185e-06
1755016061,3,0,21,7.811991963535547e-06
1755016062,3,0,211,6.851973012089729e-06
1755016063,3,0,29,6.482994649559259e-06
1755016064,3,0,59,6.8479566834867e-06
1755016065,3,0,1135,8.567993063479662e-06
1755016066,3,0,15,6.6820066422224045e-06
1755016067,3,0,1080,7.890979759395123e-06
1755016068,3,0,1058,7.78300454840064e-06
1755016069,3,0,1273,1.0214978829026222e-05
1755016070,3,0,208,1.1045020073652267e-05
1755016071,3,0,1290,1.4504999853670597e-05
1755016072,3,0,53,1.13139976747334e-05
1755016073,3,0,20,1.0248972102999687e-05
1755016074,3,0,230,1.1810974683612585e-05
1755016075,3,0,698,1.1304975487291813e-05
1755016076,3,0,234,6.810994818806648e-06
1755016077,3,0,666,7.5169955380260944e-06
1755016078,3,0,233,8.120026905089617e-06
1755016079,3,0,63,8.395989425480366e-06
1755016080,3,0,1002,9.803974535316229e-06
1755016081,3,0,1021,1.3647018931806087e-05
1755016082,3,0,109,1.161196269094944e-05
1755016083,3,0,106,7.750990334898233e-06
1755016084,3,0,113,7.073977030813694e-06
1755016085,3,0,204,9.112991392612457e-06
1755016086,3,0,1003,8.748029358685017e-06
1755016087,3,0,131,7.822993211448193e-06
1755016088,3,0,1345,7.2820112109184265e-06
1755016089,3,0,1380,7.5160060077905655e-06
1755016090,3,0,283,7.02001852914691e-06
1755016091,3,0,1300,7.96496169641614e-06
1755016092,3,0,209,7.136957719922066e-06
1755016093,3,0,1379,7.694005034863949e-06
1755016094,3,0,1018,9.286974091082811e-06
1755016095,3,0,2720,7.997965440154076e-06
1755016096,3,0,1320,1.2054049875587225e-05
1755016097,3,0,1022,8.4860366769135e-06
1755016098,3,0,2520,8.911010809242725e-06
1755016099,3,0,292,7.512979209423065e-06
1755016100,3,0,1120,7.861992344260216e-06
1755016101,3,0,62,7.78300454840064e-06
1755016102,3,0,1105,8.517992682754993e-06
1755016103,3,0,1025,8.017988875508308e-06
1755016104,3,0,290,8.222006727010012e-06
1755016105,3,0,204,7.584982085973024e-06
1755016106,3,0,2911,7.970025762915611e-06
1755016107,3,0,209,8.128001354634762e-06
1755016108,3,0,257,8.801987860351801e-06
1755016109,3,0,1632,2.4442037101835012e-05
1755016110,3,0,181,7.679976988583803e-06
1755016111,3,0,138,7.883994840085506e-06
1755016112,3,0,370,7.525959517806768e-06
1755016113,3,0,1175,8.813978638499975e-06
1755016114,3,0,101,8.367991540580988e-06
1755016115,3,0,171,7.639988325536251e-06
1755016116,3,0,62,7.41099938750267e-06
1755016117,3,0,108,8.589006029069424e-06
1755016118,3,0,147,8.092029020190239e-06
1755016119,3,0,1007,8.107977919280529e-06
1755016120,3,0,1011,7.6160067692399025e-06
1755016121,3,0,263,8.600007276982069e-06
1755016122,3,0,1017,8.820032235234976e-06
1755016123,3,0,147,8.890987373888493e-06
1755016124,3,0,7,6.709014996886253e-06
1755016125,3,0,117,8.34400998428464e-06
1755016126,3,0,45,7.820955943316221e-06
1755016127,3,0,84,7.73801002651453e-06
1755016128,3,0,226,6.686022970825434e-06
1755016129,3,0,12,7.90401827543974e-06
1755016130,3,0,24,7.893017027527094e-06
1755016131,3,0,109,8.044007699936628e-06
1755016132,3,0,58,8.620030712336302e-06
1755016133,3,0,645,7.747963536530733e-06
1755016134,3,0,1031,8.122005965560675e-06
1755016135,3,0,1057,8.952978532761335e-06
1755016136,3,0,204,7.012044079601765e-06
1755016037,5,0,899,2.2679974790662527e-05
1755016038,5,0,3209,1.733098179101944e-05
1755016039,5,0,301,1.8575985450297594e-05
1755016040,5,0,241,1.2692995369434357e-05
1755016041,5,0,212,1.2091011740267277e-05
1755016042,5,0,123,1.2418022379279137e-05
1755016043,5,0,100,1.1276977602392435e-05
1755016044,5,0,1145,1.2062955647706985e-05
1755016045,5,0,1148,1.1875992640852928e-05
1755016046,5,0,37,1.2483971659094095e-05
1755016047,5,0,220,1.0996998753398657e-05
1755016048,5,0,259,1.1348980478942394e-05
1755016049,5,0,800,1.1241005267947912e-05
1755016050,5,0,2539,1.2437987606972456e-05
1755016051,5,0,1407,1.1996016837656498e-05
1755016052,5,0,130,1.1421972885727882e-05
1755016053,5,0,1467,1.2316973879933357e-05
1755016054,5,0,34,1.035997411236167e-05
1755016055,5,0,1052,1.1530006304383278e-05
1755016056,5,0,1204,1.1850963346660137e-05
1755016057,5,0,753,1.0691990610212088e-05
