periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[3, 3, 3]",1755016037,"[0, 2, 1]","[0, 2, 1]",4,6,6.667,2.091,3,"[(4, 1), (5, 2), (6, 1)]"
"[3, 3, 4]",1755016037,"[0, 2, 0]","[0, 2, 0]",2,7,8.083,5.294,3,"[(2, 2), (3, 4), (4, 5), (5, 6), (6, 4), (7, 1)]"
"[3, 3, 5]",1755016037,"[0, 2, 0]","[0, 2, 0]",2,8,9.4,6.389,3,"[(2, 2), (3, 4), (4, 5), (5, 5), (6, 6), (7, 4), (8, 2)]"
"[3, 3, 6]",1755016037,"[0, 2, 1]","[0, 2, 1]",4,9,10.833,6.087,3,"[(4, 2), (5, 2), (6, 1), (7, 1), (8, 2), (9, 2)]"
"[3, 3, 7]",1755016037,"[0, 2, 0]","[0, 2, 0]",2,10,11.381,8.059,3,"[(2, 2), (3, 4), (4, 6), (5, 6), (6, 5), (7, 5), (8, 6), (9, 4), (10, 2)]"
"[3, 3, 8]",1755016037,"[0, 2, 0]","[0, 2, 0]",2,11,12.375,8.881,3,"[(2, 2), (3, 4), (4, 6), (5, 6), (6, 6), (7, 5), (8, 5), (9, 6), (10, 4), (11, 2)]"
"[3, 3, 9]",1755016037,"[0, 2, 1]","[0, 2, 1]",4,12,13.889,8.852,3,"[(4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 1), (10, 1), (11, 2), (12, 2)]"
"[3, 3, 10]",1755016037,"[0, 2, 0]","[0, 2, 0]",2,13,14.367,10.514,3,"[(2, 2), (3, 4), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 5), (10, 5), (11, 6), (12, 4), (13, 2)]"
"[3, 4, 3]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,7,7.0,4.796,3,"[(2, 5), (3, 6), (4, 5), (5, 2), (6, 2), (7, 2)]"
"[3, 4, 4]",1755016037,"[0, 0, 3]","[0, 0, 3]",3,8,9.833,5.859,3,"[(3, 1), (4, 4), (5, 5), (6, 5), (7, 4), (8, 2)]"
"[3, 4, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,9,9.0,6.952,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 22), (5, 22), (6, 18), (7, 12), (8, 6), (9, 2)]"
"[3, 4, 6]",1755016037,"[0, 0, 5]","[0, 0, 5]",2,10,10.25,5.475,3,"[(2, 1), (3, 1), (4, 1), (5, 3), (6, 4), (7, 3), (8, 2), (9, 2), (10, 2)]"
"[3, 4, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,11,11.0,8.505,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 22), (5, 24), (6, 24), (7, 22), (8, 18), (9, 12), (10, 6), (11, 2)]"
"[3, 4, 8]",1755016037,"[0, 0, 3]","[0, 0, 3]",3,12,14.083,9.572,3,"[(3, 1), (4, 4), (5, 6), (6, 6), (7, 6), (8, 6), (9, 5), (10, 5), (11, 4), (12, 2)]"
"[3, 4, 9]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,13,13.167,9.763,3,"[(2, 5), (3, 6), (4, 6), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 7), (11, 2), (12, 2), (13, 2)]"
"[3, 4, 10]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,14,14.983,11.339,3,"[(1, 1), (2, 4), (3, 8), (4, 10), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 10), (12, 8), (13, 4), (14, 2)]"
"[3, 5, 3]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,8,8.0,6.367,3,"[(0, 2), (1, 2), (2, 2), (3, 6), (4, 6), (5, 6), (6, 2), (7, 2), (8, 2)]"
"[3, 5, 4]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,9,9.0,6.952,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 22), (5, 22), (6, 18), (7, 12), (8, 6), (9, 2)]"
"[3, 5, 5]",1755016037,"[0, 0, 4]","[0, 0, 4]",4,10,12.333,7.195,3,"[(4, 1), (5, 4), (6, 5), (7, 5), (8, 5), (9, 4), (10, 2)]"
"[3, 5, 6]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,11,11.0,8.575,3,"[(0, 2), (1, 2), (2, 2), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 2), (10, 2), (11, 2)]"
"[3, 5, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,12,12.0,9.238,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 24), (5, 28), (6, 30), (7, 28), (8, 24), (9, 18), (10, 12), (11, 6), (12, 2)]"
"[3, 5, 8]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,13,13.0,10.017,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 24), (5, 28), (6, 30), (7, 30), (8, 28), (9, 24), (10, 18), (11, 12), (12, 6), (13, 2)]"
"[3, 5, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,14,14.0,10.887,3,"[(0, 2), (1, 2), (2, 2), (3, 8), (4, 8), (5, 8), (6, 10), (7, 10), (8, 10), (9, 8), (10, 8), (11, 8), (12, 2), (13, 2), (14, 2)]"
"[3, 5, 10]",1755016037,"[0, 0, 4]","[0, 0, 4]",4,15,17.667,11.905,3,"[(4, 1), (5, 4), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 5), (12, 5), (13, 5), (14, 4), (15, 2)]"
"[3, 6, 3]",1755016037,"[0, 2, 1]","[0, 2, 1]",4,9,10.833,5.92,3,"[(4, 1), (5, 2), (6, 2), (7, 2), (8, 2), (9, 1)]"
"[3, 6, 4]",1755016037,"[0, 2, 1]","[0, 2, 1]",3,10,11.917,7.826,3,"[(3, 2), (4, 2), (5, 3), (6, 4), (7, 4), (8, 3), (9, 2), (10, 2)]"
"[3, 6, 5]",1755016037,"[0, 2, 0]","[0, 2, 0]",2,11,12.533,8.963,3,"[(2, 2), (3, 4), (4, 6), (5, 7), (6, 10), (7, 10), (8, 8), (9, 5), (10, 4), (11, 2)]"
"[3, 6, 6]",1755016037,"[0, 2, 1]","[0, 2, 1]",7,12,15.833,8.402,3,"[(7, 1), (8, 2), (9, 2), (10, 2), (11, 2), (12, 1)]"
"[3, 6, 7]",1755016037,"[0, 2, 0]","[0, 2, 0]",2,13,14.524,10.54,3,"[(2, 2), (3, 4), (4, 6), (5, 8), (6, 10), (7, 11), (8, 12), (9, 10), (10, 8), (11, 6), (12, 4), (13, 1)]"
"[3, 6, 8]",1755016037,"[0, 2, 1]","[0, 2, 1]",3,14,16.292,11.497,3,"[(3, 2), (4, 2), (5, 4), (6, 4), (7, 6), (8, 5), (9, 5), (10, 6), (11, 4), (12, 4), (13, 2), (14, 2)]"
"[3, 6, 9]",1755016037,"[0, 2, 1]","[0, 2, 1]",4,15,17.944,12.349,3,"[(4, 2), (5, 2), (6, 2), (7, 4), (8, 4), (9, 3), (10, 3), (11, 4), (12, 4), (13, 2), (14, 2), (15, 2)]"
