periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[15, 10, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,26,13.0,5.802,8,"[(0, 1), (1, 1), (2, 1), (3, 2), (4, 2), (5, 2), (6, 4), (7, 4), (8, 4), (9, 5), (10, 5), (11, 5), (12, 6), (13, 6), (14, 6), (15, 5), (16, 5), (17, 5), (18, 4), (19, 4), (20, 4), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 9]",1755016038,"[0, 0, 1]","[0, 0, 1]",1,27,14.0,5.802,7,"[(1, 1), (2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 4), (8, 4), (9, 4), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 5), (17, 5), (18, 5), (19, 4), (20, 4), (21, 4), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016039,"[0, 0, 2]","[0, 0, 2]",2,25,13.5,5.188,9,"[(2, 1), (3, 1), (4, 1), (5, 3), (6, 3), (7, 3), (8, 5), (9, 5), (10, 5), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 3), (21, 3), (22, 3), (23, 1), (24, 1), (25, 1)]"
"[15, 10, 9]",1755016040,"[0, 0, 3]","[0, 0, 3]",0,26,13.0,5.802,8,"[(0, 1), (1, 1), (2, 1), (3, 2), (4, 2), (5, 2), (6, 4), (7, 4), (8, 4), (9, 5), (10, 5), (11, 5), (12, 6), (13, 6), (14, 6), (15, 5), (16, 5), (17, 5), (18, 4), (19, 4), (20, 4), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 9]",1755016041,"[0, 0, 4]","[0, 0, 4]",1,27,14.0,5.802,7,"[(1, 1), (2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 4), (8, 4), (9, 4), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 5), (17, 5), (18, 5), (19, 4), (20, 4), (21, 4), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016042,"[0, 0, 5]","[0, 0, 5]",2,25,13.5,5.188,9,"[(2, 1), (3, 1), (4, 1), (5, 3), (6, 3), (7, 3), (8, 5), (9, 5), (10, 5), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 3), (21, 3), (22, 3), (23, 1), (24, 1), (25, 1)]"
"[15, 10, 9]",1755016043,"[0, 0, 6]","[0, 0, 6]",0,26,13.0,5.802,8,"[(0, 1), (1, 1), (2, 1), (3, 2), (4, 2), (5, 2), (6, 4), (7, 4), (8, 4), (9, 5), (10, 5), (11, 5), (12, 6), (13, 6), (14, 6), (15, 5), (16, 5), (17, 5), (18, 4), (19, 4), (20, 4), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 9]",1755016044,"[0, 0, 7]","[0, 0, 7]",1,27,14.0,5.802,7,"[(1, 1), (2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 4), (8, 4), (9, 4), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 5), (17, 5), (18, 5), (19, 4), (20, 4), (21, 4), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016045,"[0, 0, 8]","[0, 0, 8]",2,25,13.5,5.188,9,"[(2, 1), (3, 1), (4, 1), (5, 3), (6, 3), (7, 3), (8, 5), (9, 5), (10, 5), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 3), (21, 3), (22, 3), (23, 1), (24, 1), (25, 1)]"
"[15, 10, 9]",1755016046,"[0, 0, 9]","[0, 0, 9]",0,26,13.0,5.802,8,"[(0, 1), (1, 1), (2, 1), (3, 2), (4, 2), (5, 2), (6, 4), (7, 4), (8, 4), (9, 5), (10, 5), (11, 5), (12, 6), (13, 6), (14, 6), (15, 5), (16, 5), (17, 5), (18, 4), (19, 4), (20, 4), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 9]",1755016047,"[0, 1, 0]","[0, 1, 0]",3,26,14.5,5.188,8,"[(3, 1), (4, 1), (5, 1), (6, 3), (7, 3), (8, 3), (9, 5), (10, 5), (11, 5), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 3), (22, 3), (23, 3), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 9]",1755016048,"[0, 1, 1]","[0, 1, 1]",1,27,14.0,5.802,7,"[(1, 1), (2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 4), (8, 4), (9, 4), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 5), (17, 5), (18, 5), (19, 4), (20, 4), (21, 4), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
"[15, 10, 9]",1755016049,"[0, 1, 2]","[0, 1, 2]",2,28,15.0,5.802,6,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 4), (9, 4), (10, 4), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 5), (18, 5), (19, 5), (20, 4), (21, 4), (22, 4), (23, 2), (24, 2), (25, 2), (26, 1), (27, 1), (28, 1)]"
